[object Object]93.708/n10.053
10.575
12.535
10.136
15.771
13.984
1560321353537 - 11.362
1560321457842 - 10.517
1,560,321,490,665 - 10.738
2019-06-12T06:39:01.757Z - 15.321
23:39:30 - 13.738
23:41:54 - 16.123ms
23:45:47 - 13.529ms
23:45:48 - 11.869ms
23:45:49 - 16.469ms
23:45:50 - 11.734ms
23:45:51 - 17.891ms
23:45:52 - 17.854ms
23:45:53 - 10.97ms
23:45:54 - 11.353ms
23:45:55 - 11.224ms
23:45:56 - 47.686ms
23:45:57 - 102.465ms
23:45:58 - 10.818ms
23:45:59 - 53.922ms
23:46:00 - 12.12ms
23:46:01 - 17.363ms
23:46:02 - 14.494ms
23:46:03 - 12.978ms
23:46:04 - 12.023ms
23:46:05 - 17.77ms
23:46:06 - 12.536ms
23:46:07 - 18.138ms
23:46:08 - 11.896ms
23:46:09 - 10.692ms
23:46:10 - 11.648ms
23:46:11 - 17.452ms
23:46:12 - 12.111ms
23:46:13 - 12.119ms
23:46:14 - 11.744ms
23:46:15 - 125.233ms
23:46:16 - 63.351ms
23:46:17 - 133.778ms
23:46:18 - 14.456ms
23:46:19 - 71.063ms
23:46:20 - 11.053ms
23:46:21 - 12.075ms
23:46:22 - 11.247ms
23:46:23 - 13.608ms
23:46:24 - 16.992ms
23:46:25 - 18.117ms
23:46:26 - 17.511ms
23:46:27 - 18.058ms
23:46:28 - 12.384ms
23:46:29 - 13.916ms
23:46:30 - 18.977ms
23:46:31 - 11.351ms
23:46:32 - 10.572ms
23:46:33 - 13.179ms
23:46:34 - 13.889ms
23:46:35 - 30.425ms
23:46:36 - 113.903ms
23:46:37 - 12.087ms
23:46:38 - 36.537ms
23:46:39 - 11.396ms
23:46:40 - 12.88ms
23:46:41 - 12.68ms
23:46:42 - 10.937ms
23:46:43 - 13.18ms
23:46:44 - 18.755ms
23:46:45 - 12.389ms
23:46:46 - 16.394ms
23:46:47 - 9.533ms
23:46:48 - 10.726ms
23:46:49 - 10.538ms
23:46:50 - 171.775ms
